StudentID,Remarks
747,"Good communication skill
Talented sir
Good teaching"
748,Very very nice ma'am 
749,Good one
750,Good moral value
751,Best professor for Design subjects 
752,instead of giving notes sir makes us right everything 
753,Change subject teacher
754,excellent teaching style.
755,mam is very good.
756, dont ever discuss about project seminar during classes
757,nothing
758,"nothing
"
759,nothing
760,nothing
761,nothing
762,Good
763,Very good 
764,Good
765,Good
766,nothing
767,nothing
768,Good
769,nothing
770,nothing
771,nothing
772,nothing
773,nothing
774,nothing
775,nothing
776,Good
777,Good
778,Good
779,Good
780,Good
781,Nothing
782,Nothing
783,Nothing
784,Nothing
785,Nothing
786,Need such kind of teachers.
787,nothing
788,Excellent
789,Good Teaching and Explanation
790,She is too rude.
791,Good
792,Good
793,Very good
794,Good
795,Good
796,"A lot of writing work is given by the faculty.
Dictates very fast and doesn't give practical examples."
797,Very good sir with theory knowledge.
798,"She has knowledge but cannot explain in an interesting way.
The subject becomes boring while she is teaching. 
"
799,"Best teacher for the subject Maths.
 "
800,"She is a mam whose class students regret to attend.
she makes the subject boring.
but a helpful mam.
 "
801,increase communication skills
802,best teacher 
803,Needs to control the class 
804,".
"
805,"incomplete syllabus
"
806,very good teaching
807,He should improve his control in students.
808,"Practicals should be performed by students , not by teachers."
809,EXCELLENT
810,NEED TO IMPROVEMENT
811,NEED TO IMPROVEMENT
812,"LAKE OF TECHNICAL KNOWLEDGE
EXPLANATION IS POOR
ONLY REPEATED QUESTION IS COMPLETE."
813,EXCELLENT KNOWLEDGE 
814,"internal ke waje se hamesha back aata hain,
result achha chahiye to internal achhe dena chahiye
"
815,"--------------------------
"
816,no
817,no
818,no
819,no
820,excellent teaching
821,excellent teaching
822,good communication
823,sorry sir
824,use E board for fast and effective teaching
825,he is very good in communication with students
826,good performance
827,bhut hi jabardast sir hai
828,goood
829,too much strict 
830,",,,,,"
831,goood
832,stop commenting on D2 students 
833,average
834,goood
835,good
836,good
837,USE DUSTB
838,nice and effective learning
839,great voice and effective  control
840,good
841,Excellent
842,use updated software for power point presentation 
843,Good sir
844,tough to understand
845,"awsome teaching
"
846,"Syllabus is very back...
At this time second unit is going...
Plz take extra classes after CAT exam"
847,no
848,"Syllabus is not completed 2nd unit is running,good teaching"
849,Communication with students 
850,no
851,Good
852,no
853,??
854,Good teaching skills 
855,Good teach
856,"Good 
"
857,Good
858,no
859,??
860,Good teach
861,no
862,100%good teachinh
863,Syllabus is not completed 
864,Very good teach
865,no
866,Good
867,no
868,?
869,Very very good teaching
870,Excellent 
871,Good
872,Good teaching
873,no
874,????
875,Good
876,Good
877,Excellent 
878,Good
879,Satisfactory
880,Very good
881,??
882,Good
883,Good
884,satisfactory
885,Good
886,Good teaching 
887,"Very very very very very good
Excellent teaching"
888,Good
889,Good
890,Good
891,??
892,Good
893,Good
894,Good
895,Very bad
896,"Very good
"
897,Good
898,Good
899,I wil give negative marking
900,Excellent
901,Excellent
902,Very baad i will give negative marking
903,Very Good
904,Excellent
905,Excellent
906,Excellent
907,Good teaching 
908,Good teaching  but slow teaching speed
909,Fast teaching i don't understand 
910,Good knowledge  and helpful  understanding toward  student
911,Good teaching 
912,Good 
913,Good
914,Good
915,Please complete the syllabus and give notes unitwise 
916,Seriously sir is very nice great job in his work excellent knowledge in his subject
917,Good 
918,??????????
919,??
920,??????????
921,??????
922,????
923,??????
924,????????
925,????????
926,good
927,"course is not completed
"
928,good
929,good
930,good
931,teaching with a high speed
932,very nice performance
933,good teaching staff
934,very nice conversation  with student
935,good teaching
936,one of the best faculty of cvil department. most panctual man of acet.
937,kindly produce this type of faculties more in number.
938,"good faculty and teaching speed is also good ,kindly produce more faculty"
939,kindly ask other teachers to learn how to teach from nafees sir.
940,excellent knowledge of the subject.
941,excellent knowledge about the subject
942,knowledge about the subject is excellent.
943,ask him to make his own design data book as he is having excellent knowledge of design.
944,one of the best faculty of acet.
945,He is a really friendly and helpful teacher .He is sincere towards his work . I enjoy learning from him and sitting in his class.
946,lawdegqandu
947,He is a really hard working teacher and is always worried about the students performance and always takes feedback from the students .
948,i would be lucky if i may be able to acquire his level of knowledge.
949,no one teaches numericals orally
950,"students ko daratha hai or galiya bakta hai chutka mundi hilane nahi ndeta hai 
 lawde ne paper bigad dia aur OHP se pura subject padaya "
951,nothing
952,dmd koe orally padata hai kya
953,productivy is very less and 
954,excellent knowledge of the subject. 
955,"bad comminication skill
sir ke pass ethics nahi hai ke bacho se kayse baaat krte hai 
bacho ko harassement karta bache mentally distrubv hai bacho ki samne bulake gand marta ladkiyo ko tadta haii"
956,DMD koe orally padaya hai B.D SHIVALKAR ki marta hai
957,EXCELLENT
958,GOOD
959,excellent
960,excellent
961,Better!!
962,Good
963,not able to summarise the topic
964,not able to teach the topic
965,Best!!
966,very good teacher
967,Very helpful teacher.
968,Best faculty!!
969,EXCELLENT
970,helpful faculty
971,EXCELLENT
972,"need to focus on numerical and weather student understand or not ,plz take care"
973,"EXCELLENT
"
974,"EXCELLENT
"
975,verbally teaching thats not good
976,EXCELLENT
977,good 
978,"good subject knowledge, but poor teaching skills"
979,Good 
980,teaching skill is very good but has a rude behaviour.
981,excellent teaching skill with awesome behaviour with the students and always helpful.
982,????
983,faulty has a polite nature and good teaching skill too.
984,??????
985,No remark needed 
986,??????
987,Use of cell phone during class
988,??????
989,"Teaching speed is too slow.
Subject knowledge is not proper."
990,????????
991,Good Teaching. 
992,Very good
993,Very good
994,Very good
995,Very good
996,"good
"
997,good
998,excelent
999,Very good
1000,gud
1001,Very good
1002,more practice should be taken.
1003,nothing
1004,nothing
1005,nothing
1006,nothing
1007,nothing
1008,Very good
1009,Very good
1010,excellent way to teach
1011,Very good
1012,Good
1013,Very good
1014,Excellent
1015,Very good
1016,Good
1017,Very good
1018,Excellent
1019,WORST COMMUNICATION  FOR STUDENTS.
1020,GOOD KNOWLEDGE
1021,Good sir
1022,Best teacher ever
1023,Good
1024,He just should not read the chapters and topics but take the initiative to give the answer to student's questions. 
1025,Excellent ??
1026,Can do better teaching with very slow speed need to enhance teaching skills
1027,Extraordinary excellent teaching??
1028,Extraordinary excellent
1029,Teaching skill are not good very poor and don't understand the weakness of the student and don't explain according to them
1030,good teacher with ampoe amount of knowledge regarding subject 
1031,Excellent 
1032,very good sir knowledgeable humble and awsome teaching skills 
1033,Best!!
1034,good sir with subject knowledge and also good example giving while teaching 
1035,Very experienced faculty
1036,Excellent teaching 
1037,He just teaches and go and didn't interact with the students
1038,No remark
1039,No remark
1040,No remark
1041,No remark
1042,No remark
